from,to,weight,year,az,code
Ziffer1,FNP,1,1990,(B 91/90),(FNP/1990/1)
Ziffer2,MBZ,1,1990,(B 17/90),(MBZ/1990/1)
Ziffer4,HM,1,1990,(B 8/90),(HM/1990/1)
Ziffer7,TZ,1,1990,(B 31/90),(TZ/1990/1)
Ziffer8,WAZ,2,1990,(B 63/89),(WAZ/1990/1)
Ziffer8,DE,2,1990,(B 98/90),(DE/1990/1)
Ziffer9,RK,1,1990,(B 14/90),(RK/1990/1)
Ziffer10,DP,1,1990,(B 24/90),(DP/1990/1)
Ziffer10,MBZ,1,1990,(B 17/90),(MBZ/1990/2)
Ziffer12,FNP,1,1990,(B 91/90),(FNP/1990/2)
Ziffer12,MM,1,1990,(B 70/90),(MM/1990/1)
Ziffer12,MBZ,1,1990,(B 59/90),(MBZ/1990/3)
Ziffer13,ABZ,2,1990,(B 29/90),(ABZ/1990/1)
Ziffer10,TAZ,1,1991,(B 28/87),(TAZ/1991/1)
Ziffer12,Coupe,1,1991,(B 2/91),(Coupe/1991/1)
Ziffer14,Coupe,1,1991,(B 2/91),(Coupe/1991/2)
Ziffer2,Quick,1,1991,(B 21/91),(Quick/1991/1)
Ziffer2,ABZ,1,1991,(B 12/91),(ABZ/1991/1)
Ziffer8,Bunte,1,1991,(B 20/91),(Bunte/1991/1)
Ziffer1,Super,1,1991,(B 27/91),(Super/1991/1)
Ziffer8,ME,1,1991,(B 32/91),(ME/1991/1)
Ziffer2,Bild,1,1991,(B 47/91),(Bild/1991/1)
Ziffer1,FR,1,1991,(B 47/91),(FR/1991/1)
Ziffer8,DGZ,1,1991,(B 49/91),(DGZ/1991/1)
Ziffer8,FN,1,1991,(B 51/91),(FN/1991/1)
Ziffer11,FN,1,1991,(B 51/91),(FN/1991/2)
Ziffer8,Super,2,1991,(B 54/91),(Super/1991/2)
Ziffer8,Quick,1,1992,(B 39/90),(Quick/1992/1)
Ziffer2,Quick,1,1992,(B 66/91),(Quick/1992/2)
Ziffer9,HK,1,1992,(B 68/91),(HK/1992/1)
Ziffer8,BildaS,1,1992,(B 71/91),(BildaS/1992/1)
Ziffer8,Bild,2,1992,(B 6/92),(Bild/1992/1)
Ziffer13,Bild,1,1992,(B 14/92),(Bild/1992/2)
Ziffer8,DW,2,1992,(B 15/92),(DW/1992/1)
Ziffer7,SPHT,1,1992,(B 18/92),(SPHT/1992/1)
Ziffer8,Bild,2,1992,(B 25/92),(Bild/1992/3)
Ziffer8,Tempo,2,1992,(B 32/92),(Tempo/1992/1)
Ziffer2,TZ,1,1992,(B 38/92),(TZ/1992/1)
Ziffer8,SuperI,1,1992,(B 39/92),(SuperI/1992/1)
Ziffer4,Bild,1,1992,(B 49/92),(Bild/1992/4)
Ziffer9,Bild,1,1992,(B 49/92),(Bild/1992/5)
Ziffer9,Playboy,1,1992,(B 51/92),(Playboy/1992/1)
Ziffer1,BI,1,1993,(B 50/92),(BI/1993/1)
Ziffer9,BI,1,1993,(B 50/92),(BI/1993/2)
Ziffer2,PZ,1,1993,(B 57/92),(PZ/1993/1)
Ziffer8,Bild,2,1993,(B 64/92),(Bild/1993/1)
Ziffer13,Bild,2,1993,(B 64/92),(Bild/1993/2)
Ziffer2,FAZ,1,1993,(B 4/93),(FAZ/1993/1)
Ziffer5,HM,2,1993,(B 18/93),(HM/1993/1)
Ziffer13,Bild,1,1993,(B 26/93),(Bild/1993/3)
Ziffer12,WFB,1,1993,(B 28/93),(WFB/1993/4)
Ziffer8,MM,1,1993,(B 42a/93),(MM/1993/1)
Ziffer8,TZ,1,1993,(B 42b/93),(TZ/1993/1)
Ziffer8,Bild,1,1993,(B 42c/93),(Bild/1993/4)
Ziffer8,Bild,1,1993,(B 48a/93),(Bild/1993/5)
Ziffer8,BZ,1,1993,(B 48b/93),(BZ/1993/1)
Ziffer8,BK,1,1993,(B 48c/93),(BK/1993/1)
Ziffer8,SuperI,1,1993,(B 48e/93),(SuperI/1993/1)
Ziffer12,Praline,1,1993,(B 49/93),(Praline/1993/1)
Ziffer9,IS,1,1993,(B 51/93),(IS/1993/1)
Ziffer13,TZ,2,1993,(B 63a/93),(TZ/1993/2)
Ziffer8,Bild,2,1993,(B 74/93),(Bild/1993/6)
Ziffer2,SuperI,2,1993,(B 75/93),(SuperI/1993/2)
Ziffer8,SuperI,2,1993,(B 75/93),(SuperI/1993/3)
Ziffer9,Coupe,1,1994,(B 13/91),(Coupe/1994/1)
Ziffer2,BI,1,1994,(B 44/93),(BI/1994/1)
Ziffer14,BI,1,1994,(B 44/93),(BI/1994/2)
Ziffer13,Express,2,1994,(B 80a/93),(Express/1994/1)
Ziffer10,ND,1,1994,(B 87/93),(ND/1994/1)
Ziffer2,Coupe,1,1994,(B 88/93),(Coupe/1994/2)
Ziffer2,Bild,1,1994,(B 6/94),(Bild/1994/1)
Ziffer13,Bild,2,1994,(B 15/94),(Bild/1994/2)
Ziffer8,CMP,1,1994,(B 31/94),(CMP/1994/1)
Ziffer11,CMP,1,1994,(B 31/94),(CMP/1994/2)
Ziffer12,Bild,1,1994,(B 33/94),(Bild/1994/3)
Ziffer8,ABZ,2,1994,(B 37/94),(ABZ/1994/1)
Ziffer8,Bild,1,1994,(B 59/94),(Bild/1994/4)
Ziffer9,Bild,1,1994,(B 59/94),(Bild/1994/5)
Ziffer8,Bild,1,1994,(B 62/94),(Bild/1994/6)
Ziffer11,Bild,1,1994,(B 62/94),(Bild/1994/7)
Ziffer13,Bild,1,1994,(B 62/94),(Bild/1994/8)
Ziffer8,Bild,1,1994,(B 64/94),(Bild/1994/9)
Ziffer13,Bild,2,1994,(B 74/94),(Bild/1994/10)
Ziffer2,Huerriyet,1,1994,(B 76/94),(Huerriyet/1994/1)
Ziffer9,Huerriyet,1,1994,(B 76/94),(Huerriyet/1994/2)